sigmas,rho,intf,F0,Group
0.82,"[7.96334460e-03 1.24052102e-03 3.20134456e-04 ... 4.00168071e-05
 5.00210088e-05 9.00378159e-05]",6.105126687387433,7.088977370495581e-05,Young
0.98,[0.00981933 0.00184175 0.00052049 ... 0.00025024 0.0002102  0.00029028],20.93632681822932,0.0004401881787698314,Young
0.95,"[9.04936564e-03 1.72368869e-03 4.81029403e-04 ... 9.01930130e-05
 1.00214459e-04 1.30278797e-04]",13.786778881806713,0.00021884833543783723,Young
0.77,"[7.29428999e-03 1.17390912e-03 2.30768459e-04 ... 3.01002338e-05
 2.00668225e-05 1.00334113e-05]",3.883587633024144,5.5595131788856675e-05,Young
0.9,"[8.72264784e-03 1.38200391e-03 3.40493716e-04 ... 7.01016474e-05
 5.00726053e-05 5.00726053e-05]",8.303033998905503,0.00010209804216113337,Young
0.96,"[8.95170082e-03 1.53029076e-03 4.30081716e-04 ... 1.30024705e-04
 9.00171032e-05 9.00171032e-05]",15.721252595818983,0.00022809333773416937,Young
0.67,"[6.38990435e-03 7.81210877e-04 1.70263909e-04 ... 4.00620962e-05
 6.00931444e-05 3.00465722e-05]",2.5913748443668454,3.9250838800140395e-05,Young
0.98,[0.01001813 0.00184334 0.00042076 ... 0.00129234 0.00129234 0.00142257],29.591252175342134,0.0003002534587603561,Young
0.89,"[8.45454181e-03 1.69291181e-03 5.00861482e-04 ... 6.01033778e-05
 5.00861482e-05 3.00516889e-05]",9.141613023727299,0.00010025243418680154,Young
0.89,[0.0076216  0.00136029 0.00040008 ... 0.00011002 0.00011002 0.00014003],9.778323614514377,0.00010949299352864065,Young
0.94,[0.00871131 0.00168025 0.00037006 ... 0.00011002 0.00010002 0.00016002],22.075337673112006,0.00017799669950492567,Young
0.97,"[9.48408959e-03 1.61409981e-03 5.51400557e-04 ... 5.01273234e-05
 4.01018587e-05 6.01527881e-05]",20.937971759667338,0.00031204258817396147,Young
0.91,[0.00860753 0.00148648 0.00028123 ... 0.00010044 0.00013057 0.0001607 ],10.672304553570804,0.00010914587601944515,Young
0.76,"[6.96032415e-03 9.32723553e-04 1.90556425e-04 ... 9.02635696e-05
 6.01757131e-05 9.02635696e-05]",3.8613043989204496,5.108918040678781e-05,Young
0.87,"[8.40277151e-03 1.31355975e-03 4.71277161e-04 ... 5.01358682e-05
 6.01630418e-05 8.02173891e-05]",6.680871919251763,7.161407414092194e-05,Young
0.93,[0.00884814 0.0015214  0.00038035 ... 0.00017016 0.00017016 0.00023021],13.4195601242199,0.00012933899187252254,Young
0.94,"[9.20767874e-03 1.50288554e-03 4.30827188e-04 ... 1.20230843e-04
 1.20230843e-04 8.01538955e-05]",16.231637832796704,0.00017639868547611416,Young
0.97,[0.00875838 0.0015751  0.00047153 ... 0.00035114 0.0004013  0.00039127],37.809509822160756,0.0002590994823227257,Young
0.96,[0.00894772 0.00148294 0.00043085 ... 0.0002505  0.00033065 0.00032063],21.602599445505245,0.0001953668263161057,Young
0.98,[0.00940618 0.00178307 0.00055095 ... 0.001162   0.0009316  0.00088152],34.92949239000836,0.00038845814801458496,Young
0.82,"[7.89152162e-03 1.34195926e-03 3.20467883e-04 ... 1.00146213e-05
 1.00146213e-05 4.00584854e-05]",4.774421327942735,5.96070262583371e-05,Young
0.95,[0.00878698 0.0016952  0.00047145 ... 0.00040123 0.00036111 0.0002608 ],23.921289201411895,0.00017162689456631813,Young
0.94,[0.00880139 0.00183446 0.00056136 ... 0.00030073 0.00031076 0.0003308 ],10.69598316690274,0.0001434084826127493,Young
0.93,[0.00861179 0.00152386 0.00047119 ... 0.00025063 0.00025063 0.00020051],9.703812314777997,0.0001348511734688763,Young
0.96,[0.00878518 0.00133079 0.00033019 ... 0.00054032 0.00041024 0.00040024],25.630159160778234,0.00020945357761079067,Young
0.97,[0.00869287 0.00149049 0.00039013 ... 0.00034011 0.0003001  0.00032011],21.88433057959968,0.00026883871677653616,Young
0.84,"[8.30880211e-03 1.30609948e-03 3.31548331e-04 ... 8.03753529e-05
 2.00938382e-05 3.01407573e-05]",6.510937310030084,7.512081420232484e-05,Young
0.91,[0.00875743 0.00158315 0.00039078 ... 0.00017034 0.0001002  0.00011022],7.927644700468495,0.00010705303554072595,Young
0.92,[0.00866754 0.00134117 0.00038033 ... 0.00041036 0.00031027 0.00018016],13.290890131765996,0.00012445827870247194,Young
0.78,"[7.14385909e-03 1.16225477e-03 2.60505380e-04 ... 1.00194377e-05
 3.00583131e-05 0.00000000e+00]",4.068856110214771,6.0527423201010035e-05,Young
0.67,"[6.53614398e-03 9.90931476e-04 1.50141133e-04 ... 1.00094088e-05
 0.00000000e+00 0.00000000e+00]",2.946791969493281,3.810581947030215e-05,Elderly
0.71,"[6.85130175e-03 9.80186235e-04 1.40026605e-04 ... 7.00133025e-05
 5.00095018e-05 1.00019004e-05]",3.274092835444453,4.515858013022426e-05,Elderly
0.65,"[6.33838131e-03 9.22675760e-04 1.80523518e-04 ... 2.00581687e-05
 0.00000000e+00 1.00290843e-05]",2.3182999103752993,3.419917761508358e-05,Elderly
0.81,"[7.75201572e-03 1.34381644e-03 3.71053793e-04 ... 1.00284809e-05
 3.00854427e-05 4.01139235e-05]",5.308168850663835,6.173532833246402e-05,Elderly
0.7,"[6.85699413e-03 9.50969989e-04 2.20224629e-04 ... 2.00204208e-05
 2.00204208e-05 4.00408417e-05]",2.887516410241723,3.646719654047149e-05,Elderly
0.82,"[7.49120010e-03 1.23349078e-03 2.20624367e-04 ... 3.00851409e-05
 3.00851409e-05 2.00567606e-05]",4.090938517303775,7.091067721652233e-05,Elderly
0.68,"[6.50715787e-03 7.90869957e-04 1.40154170e-04 ... 1.00110121e-05
 2.00220242e-05 3.00330363e-05]",2.3650598527998583,3.695064571028138e-05,Elderly
0.84,"[8.04176919e-03 1.05023105e-03 2.70059413e-04 ... 1.00022005e-05
 2.00044010e-05 2.00044010e-05]",6.503464282872365,7.429634519594317e-05,Elderly
0.65,"[6.12770908e-03 8.52463620e-04 1.00289838e-04 ... 1.00289838e-05
 3.00869513e-05 3.00869513e-05]",2.1330589357352006,3.452979109626831e-05,Elderly
0.85,[0.00820074 0.00120157 0.00026034 ... 0.00016021 0.00020026 0.00011014],6.0096504559492105,7.419719832981192e-05,Elderly
0.8,"[7.74316338e-03 9.61634779e-04 2.20374637e-04 ... 2.00340579e-05
 6.01021737e-05 4.00681158e-05]",4.360118686653828,6.086346789542224e-05,Elderly
0.86,"[8.42115829e-03 1.38512496e-03 4.11522634e-04 ... 5.01856870e-05
 1.10408511e-04 1.70631336e-04]",6.5283637688736755,8.605841613971719e-05,Elderly
0.77,"[7.02105316e-03 9.80147022e-04 2.70040506e-04 ... 2.00030005e-05
 0.00000000e+00 0.00000000e+00]",3.238482573764513,5.402810421563222e-05,Elderly
0.81,"[7.89037796e-03 1.19459921e-03 2.30888922e-04 ... 8.03091904e-05
 9.03478392e-05 7.02705416e-05]",4.2386974628525795,6.899563318777333e-05,Elderly
0.63,"[5.90746973e-03 7.53503793e-04 6.02803034e-05 ... 1.00467172e-05
 3.01401517e-05 3.01401517e-05]",2.376303435626338,3.5625659315818756e-05,Elderly
0.81,"[7.61792264e-03 1.21125971e-03 3.20333146e-04 ... 1.10114519e-04
 1.10114519e-04 9.00936974e-05]",4.277860148760559,5.746976855930155e-05,Elderly
0.74,"[7.25747520e-03 9.91020751e-04 2.50257765e-04 ... 1.00103106e-05
 2.00206212e-05 4.00412425e-05]",3.3508220478055395,5.3995615483948496e-05,Elderly
0.97,[0.00957254 0.00190249 0.00050066 ... 0.00068089 0.00068089 0.00068089],20.115758608140528,0.00031541319128057787,Elderly
0.68,"[5.87258394e-03 7.10312538e-04 8.00352155e-05 ... 2.00088039e-05
 3.00132058e-05 3.00132058e-05]",2.6756195407637833,3.445516027051911e-05,Elderly
0.74,"[7.01817708e-03 1.13293430e-03 3.00779018e-04 ... 5.01298363e-05
 7.01817708e-05 2.00519345e-05]",3.306688312488471,4.42345675299022e-05,Elderly
0.8,"[7.39848416e-03 1.17452191e-03 3.61391357e-04 ... 5.01932440e-05
 1.00386488e-05 4.01545952e-05]",4.517822901676653,5.6025698940922974e-05,Elderly
0.71,"[6.77060935e-03 9.00081007e-04 2.70024302e-04 ... 3.00027002e-05
 5.00045004e-05 3.00027002e-05]",2.9066836226752666,4.481403326299343e-05,Elderly
0.74,"[7.37525371e-03 1.02489902e-03 3.51681035e-04 ... 4.01921183e-05
 5.02401479e-05 5.02401479e-05]",2.9250620018365283,4.7557324008761606e-05,Elderly
0.8,"[7.39096082e-03 1.29016772e-03 2.60033804e-04 ... 4.00052007e-05
 4.00052007e-05 4.00052007e-05]",3.4122660441570263,5.9657755508216035e-05,Elderly
0.76,"[7.45835336e-03 1.20134551e-03 2.60291527e-04 ... 5.00560628e-05
 8.00897005e-05 4.00448502e-05]",3.8047166940017623,5.5852554861445046e-05,Elderly
0.86,"[8.09461393e-03 1.58090111e-03 3.50199614e-04 ... 8.00456260e-05
 6.00342195e-05 2.00114065e-05]",5.675274628328155,7.863482184845449e-05,Elderly
0.8,"[6.78190555e-03 9.83175657e-04 2.50810117e-04 ... 4.01296187e-05
 2.00648093e-05 0.00000000e+00]",4.1881242500338445,5.6793442820309524e-05,Elderly
0.74,"[6.96661829e-03 8.70827286e-04 2.40228217e-04 ... 1.00095090e-05
 2.00190181e-05 1.00095090e-05]",3.1224496247835685,4.3421250187678615e-05,Elderly
0.73,"[7.03042183e-03 9.30055803e-04 1.60009601e-04 ... 1.00006000e-05
 3.00018001e-05 2.00012001e-05]",3.6253364964001658,4.758285497129829e-05,Elderly
0.81,"[7.89371004e-03 1.12052665e-03 2.80131662e-04 ... 4.00188088e-05
 4.00188088e-05 4.00188088e-05]",4.980694101862007,6.064850479725495e-05,Elderly
