Group,tau
Young,46.778144338694375
Young,30.10236266662649
Young,47.56673499118209
Young,25.884421805837693
Young,21.14596933491866
Young,43.845488360451405
Young,97.96535769782082
Young,102.84431929557553
Young,33.322353550293144
Young,134.77565223414877
Young,42.945531029635475
Young,21.342048363722466
Young,38.1404859236677
Young,27.075928858235837
Young,32.164106000922104
Young,77.37483953175929
Young,38.55634378649649
Young,39.68764468157558
Young,26.1967555999267
Young,79.08541996547581
Young,103.20589232867295
Young,34.314023905857184
Young,48.107838643650815
Young,31.090643145322076
Young,59.83484133082618
Young,18.438170258155434
Young,17.351270809621752
Young,35.4311607805059
Young,32.97179321347149
Young,41.94359819148954
Elderly,67.011260881032
Elderly,229.13978627075983
Elderly,38.44676878995848
Elderly,34.33252134113383
Elderly,52.840251486133845
Elderly,54.66406419024549
Elderly,41.92147319950777
Elderly,46.7650940037272
Elderly,36.90918424316524
Elderly,37.71075603969671
Elderly,52.07112647467853
Elderly,48.42634515451599
Elderly,72.73751221989379
Elderly,29.107339872569536
Elderly,30.697727793150836
Elderly,47.099501787315496
Elderly,63.299143247867875
Elderly,27.15345725170757
Elderly,34.60571588410627
Elderly,31.46677076088668
Elderly,30.71296837018864
Elderly,54.10669136577842
Elderly,52.84752634394171
Elderly,74.67267165310312
Elderly,35.83855218953196
Elderly,48.57509956404337
Elderly,31.243880099691296
Elderly,50.56865537628427
Elderly,52.86402916741903
Elderly,47.40257161690687
