Network,Lag,curve
DMN,1,1.0
DMN,2,0.5302437514856383
DMN,3,0.33281303950130114
DMN,4,0.163825867290173
DMN,5,0.10933830625509808
DMN,6,0.043024358031807444
DMN,7,0.005114810851894275
DMN,8,-0.02799397364282471
DMN,9,-0.03782331910029836
DMN,10,-0.05866363983088298
DMN,11,-0.06329235429688912
DMN,12,-0.07876538141900301
DMN,13,-0.07603653290376033
DMN,14,-0.08358033462359926
DMN,15,-0.08198059412221267
DMN,16,-0.08568699008633102
DMN,17,-0.08704154884607557
DMN,18,-0.08592418129980853
DMN,19,-0.09050578153750509
DMN,20,-0.08306270692609789
DMN,21,-0.08392025318642318
DMN,22,-0.08799718409761463
DMN,23,-0.0847180402267365
DMN,24,-0.08570132712479858
DMN,25,-0.07722737359505824
SMN,1,1.0
SMN,2,0.4677528989505887
SMN,3,0.3262601904616747
SMN,4,0.1680731214132239
SMN,5,0.11636678465832613
SMN,6,0.0469899997371342
SMN,7,0.0053862957487371315
SMN,8,-0.0298942237083076
SMN,9,-0.040260920750801336
SMN,10,-0.06786443546690105
SMN,11,-0.07244782453357874
SMN,12,-0.08571862089650499
SMN,13,-0.08839608252349739
SMN,14,-0.09173513299859322
SMN,15,-0.08852119066964563
SMN,16,-0.08337872355049696
SMN,17,-0.0893258511358831
SMN,18,-0.07619367579694648
SMN,19,-0.08382403501239931
SMN,20,-0.07740790552364207
SMN,21,-0.08237890943230199
SMN,22,-0.07581206400604618
SMN,23,-0.07127630854429899
SMN,24,-0.06913802130311414
SMN,25,-0.060610458916614034
VIS,1,1.0
VIS,2,0.5496918403303923
VIS,3,0.3288943760026418
VIS,4,0.1733618193752329
VIS,5,0.12296298718338879
VIS,6,0.050531879551432624
VIS,7,0.01562523891268209
VIS,8,-0.02351129622974022
VIS,9,-0.037230026510412136
VIS,10,-0.05868525333714411
VIS,11,-0.06271816689237525
VIS,12,-0.08287126483444142
VIS,13,-0.08120679091249167
VIS,14,-0.08380928544073785
VIS,15,-0.08394837809247688
VIS,16,-0.08783258798817428
VIS,17,-0.08690522534024797
VIS,18,-0.08986550919108327
VIS,19,-0.09007145007581158
VIS,20,-0.0897978479116227
VIS,21,-0.09031352410765638
VIS,22,-0.08829113761507806
VIS,23,-0.07614830679106153
VIS,24,-0.0692445713627434
VIS,25,-0.06835330268107456
SC,1,1.0
SC,2,0.29773192307589136
SC,3,0.1514593044182959
SC,4,0.023718304217644336
SC,5,0.020898688924123596
SC,6,0.005846327700442956
SC,7,0.0005272299221733957
SC,8,-0.0030678027196875037
SC,9,0.0007688272120300235
SC,10,-0.027197438323092068
SC,11,-0.033115045498853114
SC,12,-0.04246892229957244
SC,13,-0.034417130786546804
SC,14,-0.04484783844733942
SC,15,-0.045668258873844535
SC,16,-0.04538610004047622
SC,17,-0.050360378986918364
SC,18,-0.045335820846452816
SC,19,-0.046639968577490865
SC,20,-0.040742162394867
SC,21,-0.03736116807352563
SC,22,-0.04393508966657592
SC,23,-0.04736661737960648
SC,24,-0.04401829481248687
SC,25,-0.03650349040011385
CC,1,1.0
CC,2,0.3921895583099304
CC,3,0.27563858565435845
CC,4,0.12770609426241433
CC,5,0.0943508205199391
CC,6,0.03363209583443066
CC,7,0.007969579905647476
CC,8,-0.018778107813409342
CC,9,-0.01954559231425865
CC,10,-0.048174265989925504
CC,11,-0.05319819122880456
CC,12,-0.07061255097285168
CC,13,-0.0675084784149695
CC,14,-0.07420487883913678
CC,15,-0.07247401327065363
CC,16,-0.06850201748570536
CC,17,-0.07205874633821835
CC,18,-0.0655373907197852
CC,19,-0.07352975318128771
CC,20,-0.06490255496581401
CC,21,-0.07402873046357118
CC,22,-0.07253456832938826
CC,23,-0.06569507659413568
CC,24,-0.06699072566545833
CC,25,-0.061041853058219325
AUD,1,1.0
AUD,2,0.44156262395865453
AUD,3,0.29880912313700614
AUD,4,0.15244474199329594
AUD,5,0.10955196522714675
AUD,6,0.05201361528657676
AUD,7,0.022342251338267432
AUD,8,-0.003412652116428274
AUD,9,-0.011086088757189954
AUD,10,-0.04621125305560931
AUD,11,-0.054913027901789584
AUD,12,-0.07148095641725384
AUD,13,-0.07644046685391348
AUD,14,-0.08022460279892098
AUD,15,-0.07507983260488169
AUD,16,-0.07601897565738873
AUD,17,-0.08443112519527594
AUD,18,-0.07759642034413805
AUD,19,-0.08254532172406397
AUD,20,-0.07321744667766004
AUD,21,-0.07516496172853267
AUD,22,-0.07458586815323813
AUD,23,-0.06719983559323035
AUD,24,-0.07452161194548748
AUD,25,-0.0660694729259046
